#空格简
b_	所以
c_	这个
d_	多少
f_	一个
g_	没有
h_	可以
j_	就是
k_	感觉
l_	自己
m_	即使
n_	包括
p_	对付
q_	能力
r_	其实
s_	只是
t_	因为
v_	相信
w_	什么
x_	直接
y_	都是
bb_	比较
bc_	蚊子
bd_	食物
bf_	师傅
bg_	疑问
bh_	弟弟
bj_	曾经
bk_	喜欢
bl_	道歉
bm_	普通人
bn_	卫生
bp_	并不
bq_	判断
br_	总而言之
bs_	总是
bt_	兼职
bv_	所有
bw_	关系
bx_	蛇皮
by_	尊重
cb_	快递费
cc_	憔悴
cd_	世界
cf_	厉害
cg_	厕所
ch_	懈怠
cj_	这样
ck_	情况
cl_	原因
cm_	历史
cn_	战争
cp_	懂得
cq_	惨败
cr_	压力
cs_	售价
ct_	恰好
cv_	集中
cw_	缺点
cx_	愤怒
cy_	性格
db_	报销
dc_	推荐
dd_	研究
df_	拥有
dg_	永远
dh_	打开
dj_	主要
dk_	找到
dl_	科学
dm_	良心
dn_	搜索
dp_	描述
dq_	抬头
dr_	持续
ds_	操作
dt_	拒绝
dv_	希望
dw_	投资
dx_	技术
dy_	擅长
fb_	嫌弃
fc_	亏损
fd_	妹子
ff_	妥协
fg_	救援
fh_	觉得
fj_	好的
fk_	当然
fl_	媳妇
fm_	兴趣
fn_	来说
fp_	开始
fq_	始终
fr_	母亲
fs_	如果
ft_	妇女
fv_	画面
fw_	天天
fx_	两个
fy_	无法
gb_	滋味
gc_	泄气
gd_	知道
gf_	消息
gg_	已经
gh_	活动
gj_	洗澡
gk_	清楚
gl_	激动
gm_	游戏
gn_	改变
gp_	满足
gq_	治疗
gr_	滤镜
gs_	赚钱
gt_	帮助
gv_	渣滓
gw_	没钱
gx_	演员
gy_	漂亮
hb_	说道
hc_	过程
hd_	奖励
hf_	解决
hg_	记得
hh_	才能
hj_	诽谤
hk_	可能
hl_	让人
hm_	认为
hn_	许多
hp_	评论
hq_	那么
hr_	装逼
hs_	事情
ht_	系统
hv_	谢谢
hw_	设计
hx_	计算
hy_	训练
jb_	严重
jc_	长大
jd_	时候
jf_	现在
jg_	先知先觉
jh_	矛盾
jj_	选择
jk_	孩子
jl_	玫瑰
jm_	预警
jn_	瑕疵
jp_	昙花一现
jq_	特别
jr_	问题
js_	告诉
jt_	高跟鞋
jv_	了解
jw_	非常
jx_	理解
jy_	暴发户
kb_	编辑
kc_	轻松
kd_	饮料
kf_	不好意思
kg_	差点
kh_	绝对
kj_	感冒
kk_	辛苦
kl_	终于
km_	经验
kn_	准备
kp_	眼花缭乱
kq_	痛苦
kr_	结果
ks_	还要
kt_	表现
kv_	部分
kw_	或者
kx_	红包
ky_	纠结
lb_	服务
lc_	脑子
ld_	视频
lf_	东西
lg_	切磋
lh_	脆弱
lj_	忘了
lk_	各种
ll_	朋友
lm_	脸红
ln_	胸部
lp_	腊肉
lq_	胎儿
lr_	马上
ls_	白眼
lt_	自寻烦恼
lv_	膝盖
lw_	然后
lx_	脖子
ly_	胜率
mb_	介绍
mc_	禽兽
md_	今天
mf_	通过
mg_	分钟
mh_	舒服
mj_	全部
mk_	镜子
ml_	钥匙
mm_	从来
mn_	钓鱼
mp_	错误
mq_	公司
mr_	个人
ms_	锅炉
mt_	键盘
mv_	办法
mw_	方面
mx_	针对
my_	镖局
nb_	烂泥
nc_	怎么
nd_	属于
nf_	每天
ng_	需要
nh_	第一
nj_	简单
nk_	算了
nl_	燃气
nm_	烦恼
nn_	删除
np_	舞台
nq_	年轻
nr_	等等
ns_	够用
nt_	答案
nv_	策略
nw_	故事
nx_	午饭
ny_	炫耀
pb_	节目
pc_	难道
pd_	申请
pf_	观点
pg_	由于
ph_	对手
pj_	莫名
pk_	某些
pl_	电视剧
pm_	共识
pn_	警察
pp_	苹果
pq_	萝卜
pr_	圣母
ps_	茶叶蛋
pt_	欢迎
pv_	惹事
pw_	获得
px_	英语
py_	鸡蛋
qb_	金蝉脱壳
qc_	卧室
qd_	黑名单
qf_	韬光养晦
qg_	幻觉
qh_	能说会道
qj_	逻辑
qk_	向上
ql_	能够
qm_	敷衍
qn_	帽子
qp_	卧薪尝胆
qq_	默默无闻
qr_	奥斯卡
qs_	台词
qt_	黑匣子
qv_	黑木耳
qw_	参加
qx_	金字塔
qy_	能者多劳
rb_	增加
rc_	志气
rd_	紧接着
rf_	彪形大汉
rg_	耍流氓
rh_	地方
rj_	基本
rk_	城市
rl_	虚拟
rm_	虚伪
rn_	而且
rp_	紧张
rq_	劫数
rr_	面对
rs_	吉利
rt_	坎坷
rv_	临界点
rw_	垮掉
rx_	埋怨
ry_	堵车
sb_	虽然
sc_	唯一
sd_	看到
sf_	印象
sg_	变成
sh_	哪里
sj_	兄弟
sk_	吃不消
sl_	咱们
sm_	叭
sn_	吃饭
sp_	哎呀
sq_	嘿嘿
sr_	中文
ss_	品味
st_	吹牛
sv_	邑
sw_	骨头
sx_	唾沫
sy_	咬牙
tb_	隧道
tc_	陌生
td_	除此之外
tf_	隔壁
tg_	补偿
th_	阿姨
tj_	回家
tk_	路上
tl_	合适
tm_	除了
tn_	灵感
tp_	医药费
tq_	陆续
tr_	随声附和
ts_	拿手好戏
tt_	跃跃欲试
tv_	随便
tw_	医院
tx_	院子
ty_	跑龙套
vb_	栏杆
vc_	橱窗
vd_	身体
vf_	本来
vg_	有没有
vh_	材料
vj_	橘子
vk_	越来越
vl_	标准
vm_	根本
vn_	楼梯
vp_	模式
vq_	超能力
vr_	棋子
vs_	杏
vt_	柜子
vv_	梦想
vw_	机会
vx_	刺激
vy_	板凳
wb_	化妆
wc_	侦探
wd_	住院
wf_	便宜
wg_	任何
wh_	他们
wj_	但是
wk_	大家
wl_	代价
wm_	价值
wn_	作者
wp_	仅仅
wq_	傻眼
wr_	毛病
ws_	保姆
wt_	健康
wv_	休息
ww_	佩服
wx_	值得
wy_	信息
xb_	它们
xc_	密码
xd_	往往
xf_	完全
xg_	遇到
xh_	寝室
xj_	重要
xk_	空间
xl_	客厅
xm_	很好
xn_	刚才
xp_	支付
xq_	攻击力
xr_	待遇
