#简词
喜欢	b
这个	c
多少	d
一个	f
没有	g
可以	h
就是	j
感觉	k
忘了	l
放心	m
等等	n
对付	p
能力	q
其实	r
只是	s
因为	t
越来越	v
什么	w
知道	x
要不要	y
比较	bb
蚊子	bc
食物	bd
师傅	bf
牙疼	bg
弟弟	bh
曾经	bj
养生	bk
道歉	bl
普通人	bm
卫生	bn
并不	bp
判断	bq
总而言之	br
总是	bs
兼职	bt
兽医	bv
关系	bw
蛇皮	bx
塑料	by
快递费	cb
憔悴	cc
世界	cd
厉害	cf
厕所	cg
懈怠	ch
这样	cj
情况	ck
原因	cl
历史	cm
战争	cn
懂得	cp
惨败	cq
压力	cr
售价	cs
恰好	ct
集中	cv
厌倦	cw
愤怒	cx
性格	cy
报销	db
推荐	dc
研究	dd
拥有	df
永远	dg
打开	dh
主要	dj
找到	dk
科学	dl
良心	dm
搜索	dn
抽搐	dp
抬头	dq
持续	dr
操作	ds
拒绝	dt
希望	dv
投资	dw
技能	dx
擅长	dy
嫌弃	fb
亏本	fc
妹妹	fd
正常	ff
救命	fg
觉得	fh
好的	fj
小时	fk
媳妇	fl
兴趣	fm
来说	fn
开始	fp
始终	fq
母亲	fr
如果	fs
妇女	ft
画面	fv
天天	fw
两个	fx
无效	fy
滋味	gb
泄气	gc
浪费	gd
消息	gf
已经	gg
活动	gh
洗澡	gj
清楚	gk
激动	gl
游戏	gm
淘宝	gn
满足	gp
治病	gq
法律	gr
婆婆	gs
帮助	gt
淋浴	gv
没人	gw
演员	gx
漂亮	gy
说道	hb
危险	hc
奖励	hd
解决	hf
记得	hg
才能	hh
下班	hj
可能	hk
让人	hl
认为	hm
许多	hn
评论	hp
那么	hq
装备	hr
事情	hs
系统	ht
谢谢	hv
状态	hw
计划	hx
训练	hy
严重	jb
长大	jc
时候	jd
现在	jf
配合	jg
矛盾	jh
影响	jj
孩子	jk
明白	jl
预警	jm
瑕疵	jn
暴力	jp
特别	jq
问题	jr
告诉	js
高跟鞋	jt
了解	jv
非常	jw
理解	jx
星期	jy
编辑	kb
轻松	kc
饮料	kd
不好意思	kf
差点	kg
绝对	kh
感冒	kj
辛苦	kk
终于	kl
经验	km
准备	kn
戒指	kp
痛苦	kq
结果	kr
还要	ks
表演	kt
意思	kv
夫人	kw
红包	kx
纠结	ky
服务	lb
脑子	lc
视频	ld
东西	lf
切磋	lg
脆弱	lh
上班	lj
自己	lk
朋友	ll
脸红	lm
上午	ln
腊肉	lp
上台	lq
马上	lr
白眼	ls
上限	lt
膝盖	lv
然后	lw
脖子	lx
胜率	ly
介绍	mb
禽兽	mc
今天	md
通过	mf
分钟	mg
舒服	mh
全部	mj
镜子	mk
钥匙	ml
从来	mm
钓鱼	mn
错误	mp
公司	mq
个人	mr
加上	ms
键盘	mt
办法	mv
方便	mw
针对	mx
公交车	my
烂泥	nb
怎么	nc
尽快	nd
每天	nf
需要	ng
第一	nh
简单	nj
算了	nk
烧烤	nl
烦恼	nm
删除	nn
舞台	np
年龄	nq
精神	nr
够了	ns
答案	nt
策略	nv
故事	nw
午饭	nx
炫耀	ny
节目	pb
难道	pc
申请	pd
菜单	pf
邮件	pg
对手	ph
电影	pj
某些	pk
电视剧	pl
共识	pm
警察	pn
苹果	pp
萝卜	pq
蓝色	pr
茶叶蛋	ps
欢迎	pt
电梯	pv
获得	pw
英语	px
鸡蛋	py
金蝉脱壳	qb
卧室	qc
黑名单	qd
金融	qf
幻觉	qg
能说会道	qh
逻辑	qj
向上	qk
能量	ql
敷衍	qm
帽子	qn
卧薪尝胆	qp
默默无闻	qq
奥斯卡	qr
台阶	qs
金陵	qt
金杯	qv
参与	qw
金字塔	qx
能者多劳	qy
增强	rb
志愿	rc
紧接着	rd
土豆	rf
耍流氓	rg
地方	rh
基本	rj
城市	rk
虚拟	rl
地铁站	rm
而且	rn
紧张	rp
劫数	rq
面对	rr
吉利	rs
坎坷	rt
幸存者	rv
缺点	rw
埋伏	rx
堵车	ry
虽然	sb
号码	sc
手机	sd
印象	sf
员工	sg
哪里	sh
兄弟	sj
看到	sk
咱们	sl
吃饭	sn
哎呀	sp
嘿嘿	sq
中文	sr
品味	ss
吹牛	st
骨头	sw
喷嚏	sx
咬牙	sy
隧道	tb
陌生	tc
区别	td
隔壁	tf
补偿	tg
阿姨	th
回家	tj
足够	tk
合适	tl
除了	tm
灵感	tn
医药费	tp
建议	tq
随声附和	tr
陨石	ts
距离	tt
随便	tv
医院	tw
院子	tx
跑龙套	ty
栏杆	vb
橱窗	vc
身体	vd
本来	vf
有没有	vg
材料	vh
查看	vj
想法	vk
所以	vl
根本	vm
楼梯	vn
模式	vp
超能力	vq
棋子	vr
柜子	vt
梦想	vv
机会	vw
刺激	vx
板凳	vy
化妆	wb
侦探	wc
住院	wd
便宜	wf
任何	wg
他们	wh
停车	wj
大家	wk
代价	wl
价值	wm
作者	wn
借钱	wp
傻眼	wq
毛病	wr
保姆	ws
健康	wt
休息	wv
佩服	ww
值得	wx
信息	wy
它们	xb
密码	xc
往往	xd
完全	xf
遇到	xg
寝室	xh
重要	xj
空间	xk
客厅	xl
很好	xm
刚才	xn
支付	xp
窗口	xq
待遇	xr
彼此	xs
律师	xt
里面	xv
宿舍	xw
行李	xx
宠物	xy
商场	yb
出来	yc
山寨	yd
后来	yf
尤其	yg
老司机	yh
乌鸦	yj
老头儿	yk
收获	yl
效果	ym
老年人	yn
发现	yp
充电	yq
麻烦	yr
老中医	ys
衣服	yt
老师	yv
夜宵	yw
质量	yx
老老实实	yy
#避重简
迦	mvs
叭	sm
杏	vs
邑	sv
竺	nkn
狞	wjx
孚	fjk
晖	jdh
顼	jmg
冗	hwn
暧	jdf
馋	kdh
晏	jdx
踝	tkj
恻	cgg
晾	jdj
猓	wjj
呗	sgs
榈	vjs
龈	dkm
瓒	jjj
痫	kqj
酰	jgj
辍	kcp
厩	cmt
坳	rqm
铡	mgg
琨	jjb
蜴	bjn
詈	qjy
粕	nrl
踮	tkl
舛	dkq
迤	nhv
茯	pww
砺	ddc
碣	ddj
魑	jcy
醛	jgp
苋	pfn
妲	fjf
杲	jdv
厝	cpj
纥	knh
茑	pyq
砦	dkb
砝	ddr
汨	gjd
碚	ddk
臬	lkv
钒	mwd
槎	vkx
旃	mwn
濉	gkc
芡	ptj
愆	xgx
曷	jdn
旮	dnj
笮	nnc
痼	kqt
崃	ydf
啖	snn
糅	nrj
煸	nbn
怛	cjf
醣	jgl
杓	vnd
诼	hkd
