#分号快符
q;	：“
w;	？
e;	（
r;	）
t;	@
y;	『
u;	￥
i;	：
o;	~
p;	』
a;	！
s;	……
d;	、
f;	“
g;	”
h;	·
j;	——
k;	；
l;	%
x;	【
c;	】
v;	《
b;	》
n;	「
m;	」
#空格简
b_	所以
c_	这个
d_	多少
f_	一个
g_	没有
h_	可以
j_	就是
k_	感觉
l_	自己
m_	即使
n_	包括
p_	对付
q_	能力
r_	其实
s_	只是
t_	因为
v_	相信
w_	什么
x_	直接
y_	都是
bb_	比较
bc_	蚊子
bd_	食物
bf_	师傅
bg_	疑问
bh_	弟弟
bj_	曾经
bk_	喜欢
bl_	道歉
bm_	普通人
bn_	卫生
bp_	并不
bq_	判断
br_	总而言之
bs_	总是
bt_	兼职
bv_	所有
bw_	关系
bx_	蛇皮
by_	尊重
cb_	快递费
cc_	憔悴
cd_	世界
cf_	厉害
cg_	厕所
ch_	懈怠
cj_	这样
ck_	情况
cl_	原因
cm_	历史
cn_	战争
cp_	懂得
cq_	惨败
cr_	压力
cs_	售价
ct_	恰好
cv_	集中
cw_	缺点
cx_	愤怒
cy_	性格
db_	报销
dc_	推荐
dd_	研究
df_	拥有
dg_	永远
dh_	打开
dj_	主要
dk_	找到
dl_	科学
dm_	良心
dn_	搜索
dp_	描述
dq_	抬头
dr_	持续
ds_	操作
dt_	拒绝
dv_	希望
dw_	投资
dx_	技术
dy_	擅长
fb_	嫌弃
fc_	亏损
fd_	妹子
ff_	妥协
fg_	救援
fh_	觉得
fj_	好的
fk_	当然
fl_	媳妇
fm_	兴趣
fn_	来说
fp_	开始
fq_	始终
fr_	母亲
fs_	如果
ft_	妇女
fv_	画面
fw_	天天
fx_	两个
fy_	无法
gb_	滋味
gc_	泄气
gd_	知道
gf_	消息
gg_	已经
gh_	活动
gj_	洗澡
gk_	清楚
gl_	激动
gm_	游戏
gn_	改变
gp_	满足
gq_	治疗
gr_	滤镜
gs_	赚钱
gt_	帮助
gv_	渣滓
gw_	没钱
gx_	演员
gy_	漂亮
hb_	说道
hc_	过程
hd_	奖励
hf_	解决
hg_	记得
hh_	才能
hj_	诽谤
hk_	可能
hl_	让人
hm_	认为
hn_	许多
hp_	评论
hq_	那么
hr_	装逼
hs_	事情
ht_	系统
hv_	谢谢
hw_	设计
hx_	计算
hy_	训练
jb_	严重
jc_	长大
jd_	时候
jf_	现在
jg_	先知先觉
jh_	矛盾
jj_	选择
jk_	孩子
jl_	玫瑰
jm_	预警
jn_	瑕疵
jp_	昙花一现
jq_	特别
jr_	问题
js_	告诉
jt_	高跟鞋
jv_	了解
jw_	非常
jx_	理解
jy_	暴发户
kb_	编辑
kc_	轻松
kd_	饮料
kf_	不好意思
kg_	差点
kh_	绝对
kj_	感冒
kk_	辛苦
kl_	终于
km_	经验
kn_	准备
kp_	眼花缭乱
kq_	痛苦
kr_	结果
ks_	还要
kt_	表现
kv_	部分
kw_	或者
kx_	红包
ky_	纠结
lb_	服务
lc_	脑子
ld_	视频
lf_	东西
lg_	切磋
lh_	脆弱
lj_	忘了
lk_	各种
ll_	朋友
lm_	脸红
ln_	胸部
lp_	腊肉
lq_	胎儿
lr_	马上
ls_	白眼
lt_	自寻烦恼
lv_	膝盖
lw_	然后
lx_	脖子
ly_	胜率
mb_	介绍
mc_	禽兽
md_	今天
mf_	通过
mg_	分钟
mh_	舒服
mj_	全部
mk_	镜子
ml_	钥匙
mm_	从来
mn_	钓鱼
mp_	错误
mq_	公司
mr_	个人
ms_	锅炉
mt_	键盘
mv_	办法
mw_	方面
mx_	针对
my_	镖局
nb_	烂泥
nc_	怎么
nd_	属于
nf_	每天
ng_	需要
nh_	第一
nj_	简单
nk_	算了
nl_	燃气
nm_	烦恼
nn_	删除
np_	舞台
nq_	年轻
nr_	等等
ns_	够用
nt_	答案
nv_	策略
nw_	故事
nx_	午饭
ny_	炫耀
pb_	节目
pc_	难道
pd_	申请
pf_	观点
pg_	由于
ph_	对手
pj_	莫名
pk_	某些
pl_	电视剧
pm_	共识
pn_	警察
pp_	苹果
pq_	萝卜
pr_	圣母
ps_	茶叶蛋
pt_	欢迎
pv_	惹事
pw_	获得
px_	英语
py_	鸡蛋
qb_	金蝉脱壳
qc_	卧室
qd_	黑名单
qf_	韬光养晦
qg_	幻觉
qh_	能说会道
qj_	逻辑
qk_	向上
ql_	能够
