# 当量分布统计
# 平均当量: 0.1030
# 变异系数(CV): 1.5268
# 标准差: 0.1573
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
什	0.7333	2543490
再	0.6775	1412560
成	0.4750	1832310
法	0.4650	1474190
进	0.4250	1425650
本	0.4000	1358840
全	0.4000	1098450
笑	0.3850	1884540
被	0.3750	1579320
学	0.3500	1352000
老	0.3000	1982260
所	0.3000	1861730
第	0.3000	1347940
感	0.2875	1332300
部	0.2600	1038900
两	0.2425	1739680
吧	0.2400	1265940
把	0.2333	2000870
却	0.2275	1252650
死	0.2250	1042680
#
# 当量最低的20个高频字 (字频>1000000):
作	0.0000	1284130
其	0.0000	1273250
口	0.0000	1251120
觉	0.0000	1249840
因	0.0000	1229830
白	0.0000	1223300
外	0.0000	1177060
门	0.0000	1176540
风	0.0000	1145760
主	0.0000	1135910
与	0.0000	1108640
公	0.0000	1082610
相	0.0000	1073400
吗	0.0000	1068570
等	0.0000	1054680
别	0.0000	1053960
张	0.0000	1041560
太	0.0000	1033990
日	0.0000	1024590
战	0.0000	1013640
