# 综合得分: 0.2846
# 重码数: 399
# 重码率: 0.032090%
# 加权键均当量: 0.1030
# 当量变异系数(CV): 1.5268
# 用指分布偏差(L2): 6.4439
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
一.A	F	109523303
口.A	S	106260248
丶.A	D	71364838
日.A	J	65031859
亻.A	W	57277848
人.A	M	51004657
勹.A	N	48427675
白.A	L	45880349
白.S	S	43748801
日.S	D	41516405
土.A	R	38773077
扌.A	D	37602599
丿.A	H	36557874
辶.A	V	36369949
月.A	L	35337986
口.Y	O	34114487
辶.Y	O	31610698
木.A	V	31168768
厶.A	Q	29794864
丨.A	R	29491027
女.A	F	26793976
大.A	W	26355877
又.A	P	25885574
一.Y	I	25755793
小.A	F	25228931
寸.A	H	24707250
ナ.A	V	24577160
氵.A	G	24090506
也.A	H	23454357
也.Y	E	23293975
戈.A	K	22282238
八.A	M	22217705
大.S	K	21611496
ナ.S	K	21601920
心.A	C	21538979
目.A	K	20859023
讠.A	H	20500923
不.A	K	20441866
不.S	S	20419042
乙.A	H	20069981
阝.A	T	19971621
龰.A	D	19876464
月.Y	E	19541122
人.Y	E	19290260
匕.A	B	18876605
了.A	J	18611527
了.S	V	18563716
夊.A	L	18483556
戈.S	W	18471770
寸.S	C	18461609
十.A	X	18426055
了.Y	I	18352681
⺈.A	H	17982015
刂.A	G	17237128
力.A	M	16930554
宀.A	X	16691392
厶.Y	I	16627903
不.Y	I	16558913
小.S	K	16522595
儿.A	J	16491307
王.A	J	16334303
目.S	R	16210132
丷.A	B	15783716
子.A	J	15137661
二.A	K	14810206
䒑.A	B	14253907
心.S	K	13452589
艹.A	P	13288932
刂.S	K	13187452
米.A	N	13017545
子.S	K	12865023
立.A	K	12748531
文.A	C	12674259
丨.Y	I	12548527
乂.A	D	12301248
文.S	J	11871952
门.A	J	11650578
纟.A	K	11648699
冖.A	H	11498941
米.S	R	11294168
门.S	R	11256726
{乞上}.A	N	11235387
丁.A	H	10842779
夕.A	D	10783211
自.A	L	10750690
冂.A	X	10670385
彳.A	X	10514130
大.Y	E	10168180
立.S	V	10125426
{奉下}.A	Q	10036946
彐.A	T	10035874
丶.Y	U	9937081
子.Y	E	9818282
忄.A	C	9815252
匕.Y	I	9739102
禾.A	D	9530199
工.A	X	9507333
囗.A	T	9258838
女.Y	U	9188792
亠.A	Y	9172603
禾.S	L	9107297
夊.S	K	8937658
又.Y	O	8859576
八.Y	A	8711908
至.A	F	8520608
力.S	V	8507368
{京上}.A	J	8500697
上.A	L	8454369
灬.A	N	8341401
乚.A	H	8173645
囗.S	J	8170665
耂.A	Y	8113186
米.Y	O	8103763
里.A	X	8101797
斤.A	V	8021440
上.Y	A	7858370
{于下}.A	H	7805731
竹.A	N	7733652
尤.A	Y	7714870
ㄩ.A	Y	7669829
至.S	K	7661100
十.Y	I	7589616
艮.A	M	7538888
几.A	W	7498444
尤.S	G	7444873
田.A	V	7251951
龶.A	K	7232194
彐.S	N	7214773
车.A	K	7155999
⺀.A	K	7109371
耂.S	V	7108104
己.A	G	7059224
艮.S	W	7053592
己.S	N	6959841
里.S	V	6877457
门.Y	O	6836402
丁.S	K	6829145
尸.A	N	6776943
廾.A	P	6553034
止.A	D	6544621
巾.A	Q	6532095
见.A	F	6511975
王.Y	A	6507263
走.A	V	6477109
走.S	K	6476827
车.S	C	6472702
见.S	N	6433864
殳.A	W	6416928
⺶.A	K	6290048
⺶.S	G	6266099
犬.A	W	6229241
方.A	M	6228480
二.S	N	6218690
弓.A	H	6201367
工.Y	O	6197699
西.A	Y	6197159
ㄩ.Y	A	6108530
斤.S	N	6061567
刀.A	G	6050155
冫.A	K	6040837
殳.Y	U	5986417
阝.Y	U	5883484
几.S	N	5832853
夕.S	K	5827695
木.Y	U	5729036
止.S	K	5721213
巴.A	V	5696684
巴.Y	A	5688081
示.A	L	5644259
⺁.A	Y	5565669
七.A	L	5521394
贝.A	G	5491271
小.Y	A	5415838
矢.A	G	5352667
⺊.A	C	5346215
丿.Y	E	5337751
广.A	L	5262292
冫.S	N	5205299
土.Y	U	5199603
儿.Y	E	5154153
乙.Y	I	5151802
隹.A	C	5139830
用.A	F	5130535
方.S	W	5084574
卩.A	B	5017725
自.S	K	5009841
士.A	R	5008676
兀.A	J	4991476
里.Y	I	4978679
示.S	D	4920818
火.A	N	4917415
廾.Y	I	4909599
{介下}.A	B	4871502
乂.Y	I	4861605
戊.A	K	4851441
古.A	N	4848797
广.S	W	4810553
田.S	M	4802528
巾.S	N	4779498
生.A	Y	4739483
下.A	H	4697367
下.Y	A	4689093
屮.A	Y	4667377
⺌.A	F	4624182
言.A	Y	4574856
屮.S	C	4390131
龵.A	S	4370391
龵.S	D	4363953
见.Y	E	4338017
耳.A	S	4332407
自.Y	E	4305021
舌.A	H	4301684
爪.A	F	4286315
生.Y	E	4237702
灬.S	S	4211647
寸.Y	U	4206269
水.A	G	4145928
舌.S	D	4117698
{炙上}.A	L	4066449
糸.A	T	4057296
足.A	T	4045762
马.A	L	4014882
朩.A	V	3991301
厂.A	C	3984751
牛.A	J	3976207
合.A	T	3975982
合.S	L	3966250
冂.S	N	3955110
{衣下}.A	T	3914324
{具上}.A	K	3880226
欠.A	T	3870672
羊.A	K	3850740
手.A	S	3841660
马.S	R	3811466
{兴上}.A	F	3798530
尸.S	D	3781098
心.Y	A	3748593
手.S	D	3734809
⺊.S	N	3708514
足.S	K	3697207
戊.S	J	3617587
マ.A	M	3600036
贝.S	S	3586152
{二撇}.A	H	3560307
⺀.S	N	3492963
而.A	R	3491783
页.A	M	3484262
身.A	V	3447090
穴.A	X	3434539
斤.Y	E	3398219
弓.S	W	3374894
山.A	Y	3372995
钅.A	M	3372844
隹.Y	I	3350754
己.Y	E	3349142
矢.S	D	3346164
艮.Y	I	3345526
罒.A	Q	3323522
而.S	N	3315748
羊.S	G	3292456
⺌.S	K	3276252
丬.A	H	3250272
乀.A	D	3246566
ス.A	M	3241884
龷.A	P	3234742
合.Y	A	3220671
其.A	R	3217360
夫.A	K	3151920
刀.Y	A	3144901
虫.A	B	3127153
ユ.A	K	3092879
古.S	W	3071237
穴.S	K	3067637
身.S	D	3065767
舌.Y	O	3059336
之.A	V	3011701
皮.A	S	3007707
豕.A	K	2998691
其.S	J	2975403
之.Y	I	2947696
{乍下}.A	C	2919957
正.A	F	2918733
⺍.A	F	2910415
力.Y	I	2901205
雨.A	N	2885871
牛.S	Q	2885097
长.A	J	2838619
长.S	C	2838619
兀.S	J	2832613
皮.S	N	2832581
千.A	X	2805427
羊.Y	U	2794538
干.A	P	2788073
丂.A	C	2787961
火.Y	O	2781726
雨.S	G	2764623
巳.A	G	2750994
卜.A	C	2741598
豕.S	D	2738481
石.A	D	2734995
石.S	D	2730795
{于下}.Y	O	2719342
彡.A	H	2711867
⺧.A	J	2704441
卜.S	N	2692231
手.Y	O	2674030
而.Y	E	2673592
皿.A	Q	2671596
衤.A	T	2651610
衤.S	G	2651610
业.A	W	2627394
乃.A	M	2581700
马.Y	O	2572716
犭.A	W	2546968
身.Y	O	2539030
山.S	D	2527950
夭.A	V	2525131
早.A	D	2517196
欠.S	J	2489463
方.Y	O	2459953
卩.S	N	2455643
