迦	mvs_
叭	sm_
杏	vs_
邑	sv_
竺	nkn_
狞	wjx_
孚	fjk_
晖	jdh_
顼	jmg_
冗	hwn_
暧	jdf_
馋	kdh_
晏	jdx_
踝	tkj_
恻	cgg_
晾	jdj_
猓	wjj_
呗	sgs_
榈	vjs_
龈	dkm_
瓒	jjj_
痫	kqj_
酰	jgj_
辍	kcp_
厩	cmt_
坳	rqm_
铡	mgg_
琨	jjb_
蜴	bjn_
詈	qjy_
粕	nrl_
踮	tkl_
舛	dkq_
迤	nhv_
茯	pww_
砺	ddc_
碣	ddj_
魑	jcy_
醛	jgp_
苋	pfn_
妲	fjf_
杲	jdv_
厝	cpj_
纥	knh_
茑	pyq_
砦	dkb_
砝	ddr_
汨	gjd_
碚	ddk_
臬	lkv_
钒	mwd_
槎	vkx_
旃	mwn_
濉	gkc_
芡	ptj_
愆	xgx_
曷	jdn_
旮	dnj_
笮	nnc_
痼	kqt_
崃	ydf_
啖	snn_
糅	nrj_
煸	nbn_
怛	cjf_
醣	jgl_
杓	vnd_
诼	hkd_
螬	bwj_
裼	tgj_
婧	fkl_
罱	qjx_
砹	ddp_
朊	lfj_
癔	kqk_
褰	xpm_
篁	nlj_
眇	krf_
砜	ddw_
獍	wjk_
煺	nmv_
锍	myq_
跶	tkw_
惇	cjj_
柒	glv_
叻	smv_
蜱	bjx_
鲣	hgr_
哚	swv_
癀	kqp_
硁	ddm_
悝	cxv_
柰	vld_
郤	mms_
徂	xkj_
烔	nxf_
茛	pmw_
柝	vvd_
昉	jdm_
袪	tgr_
幞	qnw_
刬	fkg_
铖	mkh_
砵	ddv_
洧	gvl_
丏	hkh_
眄	krh_
疔	kqh_
刳	wkf_
卬	sbn_
旰	jdp_
瘌	kqv_
郄	dvq_
魆	jkh_
泺	gsf_
洸	gfj_
眭	krr_
掊	dks_
畬	mfv_
淯	gyq_
鳀	hgj_
媄	fkw_
屺	ydg_
瘕	kqn_
茀	phb_
泐	gtm_
鬒	vsx_
浍	gmk_
熇	njw_
蓰	pxd_
鸼	sky_
叇	knq_
穜	dlk_
徛	xwh_
漶	gss_
唝	sxg_
昪	jdq_
呙	sxm_
磻	ddh_
皦	lsl_
珖	jfj_
奓	wkd_
稃	dlf_
庼	lwb_
狝	wjh_
溦	gyf_
炟	njf_
𬘭	kvv_
觱	kjf_
𫟼	mwv_
棓	vks_
稌	dlm_
椓	vkd_
䓫	pwh_
𪣻	rnf_
䂮	ggd_
竫	kvh_
珫	jyq_
皕	cjc_
韨	qjh_
嵁	ydr_
疭	kqm_
稙	dlx_
簝	nwb_
烻	nhd_
䁖	krn_
戣	gfw_
㳚	gkd_
剅	fsb_
㛹	fwf_
袗	tgm_
筤	ndm_
𫶇	ydp_
𠳐	sgt_
鄀	pvs_
𬊤	nbj_
𧿹	tkf_
㟃	ydh_
堨	rjn_
𬜯	pfx_
𬶋	hgn_
屼	ydj_
峧	ydy_
爚	ntn_
鄌	lwt_
滫	gwr_
𫘨	lrj_
烠	nvl_
綄	txf_
兗	yms_
羣	tnh_
陘	tfy_
閿	mrf_
弔	hwr_
紡	tmw_
寀	xfv_
碔	ddf_
顳	sns_
峯	ydl_
絳	tlq_
滾	gym_
東	vjd_
唄	sys_
晝	tnr_
縴	tyq_
醬	klh_
廩	lwy_
瘲	kqx_
營	nnh_
競	kvs_
斷	qgq_
釙	qcn_
綾	trm_
頊	jrg_
璽	fmq_
靨	cjl_
簦	ngf_
荊	pfp_
撚	dlw_
嚇	srb_
凊	knk_
鯷	xgj_
喚	shw_
㑳	wny_
麩	vvl_
閭	mrs_
棗	vxv_
蔄	pms_
汎	gwd_
秈	dly_
鸑	wjy_
勸	pss_
灘	gpf_
黌	ndd_
縊	tbm_
嶗	ydn_
賕	ysf_
躪	tkp_
彆	bqm_
濤	grh_
壘	vmv_
盞	kwk_
衹	tgs_
殤	fdn_
橢	vtv_
顰	dkf_
漊	gsx_
襪	tgp_
韍	sjs_
浛	gmd_
屌	nds_
㛆	fmv_
綞	txp_
漵	gmf_
磣	ddq_
褌	tgh_
殲	fdm_
嵐	ydw_
穡	dlr_
綧	tjj_
疇	vmr_
觴	hfn_
鮈	xgn_
贅	knl_
鄆	hbt_
躊	tkr_
躑	tkb_
嶍	yds_
蹌	tkm_
烶	ngy_
騏	crr_
綫	tkk_
葤	pth_
鰂	xgy_
瘮	kqq_
鼕	bkx_
玁	wjs_
巹	hgf_
糝	nrq_
薘	prk_
戇	kvd_
㞞	ndx_
燀	nss_
鋶	qyq_
璗	gjf_
熗	nmd_
蘗	pns_
滙	gtc_
隄	tjf_
襚	tgb_
囅	ssj_
黲	qlq_
鞿	dwq_
聹	snx_
馹	crj_
鍀	qjf_
鉞	qkh_
𣈶	jdc_
熻	nts_
瑲	jmd_
釩	qwd_
穇	dlq_
勱	pxm_
#全码
的	lsnd
一	fi
了	jvi
是	jdfd
不	ksi
我	hdkw
在	vkrr
人	me
有	vkle
这	cjvo
他	whe
来	fnro
个	mri
你	whfk
说	hbsj
上	la
到	fkgk
就	jfyg
着	kgkr
大	wke
们	wjro
道	blvo
那	hqtu
么	hqi
也	he
地	rhe
子	jke
下	ha
出	ycya
时	jdhc
看	skro
要	yfu
她	fhe
中	sri
没	gwu
然	lwns
里	xvi
为	dmdu
过	hcvo
自	lke
好	fjke
得	xjfh
去	rqi
可	hkso
会	mkqi
天	fwke
还	ksvo
心	cka
后	yfso
以	hdme
小	fka
都	yvjt
和	dlso
对	phcu
想	vkck
能	qlbb
起	vkgn
之	vi
手	sdo
而	rne
只	sma
生	ye
什	wxi
身	vdo
头	knwk
样	vkgu
事	hstn
多	dkdk
己	gne
家	xkdo
面	rro
知	xdso
开	fpi
如	fso
无	fyo
现	jfne
很	xmwi
点	cnsn
前	blgk
发	ypdu
经	kmxo
情	ckle
把	dva
老	yvbi
些	dkbk
话	hhdo
已	ggu
又	pe
声	rndo
意	kvjc
于	fho
回	tjso
笑	nvgu
所	vlvn
但	wjfi
眼	krmw
成	kjhi
方	mwo
年	nqje
见	fne
当	fktn
女	fu
真	xkma
两	fxmm
力	mvi
气	dje
从	mme
用	fo
长	jcu
动	knqm
间	jrjd
国	tjjd
走	vke
让	hla
被	tgsn
给	ktla
正	fe
问	jrso
打	dhke
明	jdle
儿	je
法	grqi
才	hhe
几	wne
行	xxcu
三	mdo
定	xfdk
此	dkbi
