的	白勹丶
一	一
了	了
是	日一龰
不	不
我	丿扌戈
在	ナ丨土
人	人
有	ナ月
这	文辶
他	亻也
来	一米
个	人丨
你	亻⺈小
说	讠丷口儿
上	上
到	至刂
就	{京上}小尤
着	⺶目
大	大
们	亻门
道	䒑自辶
那	乙{奉下}阝
么	丿厶
也	也
地	土也
子	子
下	下
出	屮ㄩ
时	日寸
看	龵目
要	西女
她	女也
中	口丨
没	氵殳
然	{炙上}犬灬
里	里
为	丶力丶
过	寸辶
自	自
好	女子
得	彳日一寸
去	土厶
可	丁口
会	人二厶
天	一大
还	不辶
心	心
后	⺁一口
以	乚丶人
小	小
都	耂日阝
和	禾口
对	又寸
想	木目心
能	厶月匕匕
起	走己
之	之
手	手
而	而
只	口八
生	生
什	亻十
身	身
头	⺀大
样	木羊
事	{于下}口彐
多	夕夕
己	己
家	宀豕
面	面
知	矢口
开	一廾
如	女口
无	一尢
现	王见
很	彳艮
点	⺊口灬
前	䒑月刂
发	{发左}又丶
经	纟ス工
情	忄龶月
把	扌巴
老	耂匕
些	止匕二
话	讠舌
已	已
又	又
声	士{眉上}
意	立日心
于	一{于下}
回	囗口
笑	竹夭
所	戶斤
但	亻日一
眼	目艮
成	戊乙
方	方
年	{乞上}㐄
见	见
当	⺌彐
女	女
真	十{具上}八
两	一冂人人
力	力
气	气
从	人人
用	用
长	长
动	二厶力
间	门日
国	囗王丶
走	走
让	讠上
被	衤皮
给	纟合
正	正
问	门口
打	扌丁
明	日月
儿	儿
法	氵土厶
才	{于下}丿
几	几
行	彳亍
三	三
定	宀一龰
此	止匕
进	二{介下}辶
再	一冂土
种	禾口丨
将	丬夕寸
实	宀⺀大
同	冂一口
最	日耳又
本	木一
向	向
分	八刀
十	十
学	⺍冖子
高	高
第	竹弓丨丿
感	戊一口心
怎	{乞上}{乍下}心
神	示申
听	口斤
边	力辶
作	亻{乞上}{乍下}
其	其
吧	口巴
却	土厶卩
口	口
觉	⺍冖见
啊	口阝丁口
因	囗大
白	白
次	冫欠
军	冖车
做	亻古夊
外	夕卜
门	门
光	⺌兀
风	几乂
主	丶王
住	亻丶王
果	日木
与	丂一
全	人王
二	二
候	亻丨ユ矢
公	八厶
相	木目
吗	口马
等	竹土寸
别	口力刂
色	⺈巴
死	一夕匕
张	弓长
部	立口阝
太	大丶
日	日
少	小丿
战	⺊口戈
理	王里
直	十{具上}
重	千里
王	王
像	亻⺈口{豕下}
脸	月人一{兴上}
比	匕匕
快	忄ユ人
何	亻丁口
水	水
名	夕口
体	亻木一
呢	口尸匕
东	七小
叫	口丩
西	西
应	广{兴上}
便	亻一日乂
放	方夊
马	马
难	又隹
轻	车ス工
更	一日乂
美	⺷大
位	亻立
关	䒑大
机	木几
接	扌立女
先	⺧儿
文	文
处	夊卜
并	䒑廾
望	亡月王
常	尚巾
完	宀一兀
四	囗儿
飞	乙{飞右}
师	リ一巾
者	耂日
安	宀女
清	氵龶月
刚	冂乂刂
跟	足艮
月	月
信	亻言
山	山
爱	爪冖ナ又
内	冂人
龙	尤丿
空	穴工
带	卅冖巾
找	扌戈
原	厂白小
入	入
李	木子
连	车辶
吃	口{乞上}乙
场	土乙{二撇}
平	干丷
思	田心
林	木木
变	亦又
使	亻一口乂
由	由
受	爪冖又
亲	立朩
命	人一口卩
目	目
强	弓口虫
男	田力
任	亻壬
该	讠亥
路	足夊口
车	车
今	人丶乙
海	氵{乞上}母
加	力口
远	一兀辶
活	氵舌
特	牛土寸
解	⺈用刀牛
电	电
世	世
性	忄生
表	龶{衣下}
许	讠{乞上}十
它	宀匕
立	立
黑	黑
金	金
红	纟工
花	艹亻匕
转	车二乚丶
总	丷口心
算	竹目廾
城	土戊乙
队	阝人
孩	子亥
反	⺁又
工	工
始	女厶口
满	氵艹一人
新	立朩斤
兵	斤一八
物	牛勹{二撇}
离	文ㄩ冂厶
非	非
虽	口虫
云	二厶
似	亻乚丶人
万	一勹
至	至
干	干
通	マ用辶
认	讠人
失	丿夫
火	火
哥	丅口丁口
士	士
五	一{五下}
惊	忄{京上}小
魔	麻鬼
竟	立日儿
姐	女且
乎	丿丷{于下}
剑	人一{兴上}刂
往	彳丶王
量	日一里
早	早
结	纟士口
怕	忄白
流	氵亠厶{荒下}
突	穴犬
坐	人人土
斯	其斤
音	立日
紧	〢又糸
指	扌匕日
拉	扌立
杀	乂朩
半	丷{奉下}
记	讠己
且	且
利	禾刂
合	合
倒	亻至刂
书	乙乙丨丶
度	广卄一又
微	{微框}一几
步	止{步下}
教	耂子夊
喜	壴口
越	走戈乚
影	日{京上}小彡
谁	讠隹
冷	冫人丶マ
深	氵冖八木
告	⺧口
落	艹氵夊口
象	⺈口{豕下}
容	穴人口
怪	忄又土
传	亻二乚丶
钱	钅一戈
提	扌日一龰
言	言
國	囗戈口一
來	來
随	阝ナ月辶
每	{乞上}母
双	又又
服	月卩又
击	{奉下}ㄩ
武	一弋止
哪	口乙{奉下}阝
数	米女夊
站	立⺊口
奇	大丁口
房	户方
管	竹宀尸コ
灵	彐火
刻	亥刂
题	日一龰页
衣	亠{衣下}
周	{周框}土口
静	龶月⺈乙
伤	亻{乞上}力
百	丆日
拿	合手
妈	女马
办	力八
星	日生
化	亻匕
功	工力
绝	纟⺈巴
系	丿糸
般	舟殳
必	心丿
业	业
尔	⺈小
件	亻牛
血	丿皿
代	亻弋
精	米龶月
弟	丷弓丨丿
终	纟夊⺀
近	斤辶
条	夊朩
青	龶月
界	田人{介下}
司	乙一口
整	木口夊正
欢	又欠
字	宀子
們	亻門
晚	日⺈口儿
民	巳七
帮	丰阝巾
切	七刀
即	{即左}卩
忙	忄亡
交	亠八乂
或	戈口一
暗	日立日
夫	夫
员	口贝
根	木艮
石	石
哈	口合
夜	亠亻夕乀
父	八乂
制	牛冂刂
友	ナ又
阿	阝丁口
息	自心
冲	冫口丨
酒	氵酉
保	亻口木
片	片
形	一廾彡
阵	阝车
南	十冂{南心}
决	冫ユ人
请	讠龶月
各	夊口
报	扌卩又
兴	{兴上}八
阳	阝日
急	⺈彐心
语	讠一{五下}口
令	人丶マ
错	钅龷日
及	乃乀
刘	文刂
极	木乃乀
识	讠口八
备	夊田
慢	忄日罒又
雪	雨彐
苦	艹古
若	艹ナ口
领	人丶マ页
收	丩夊
底	广{卬左}七丶
尽	尸乀⺀
准	冫隹
华	亻匕十
答	竹合
众	人人人
時	日土寸
千	千
消	氵⺌月
视	示见
罗	罒夕
敢	乙耳夊
留	卯田
克	古儿
乐	{乐上}小
够	勹口夕夕
跑	足勹巳
显	日业
嘴	口止匕用
官	宀尸コ
断	米乚斤
未	未
势	扌九丶力
句	勹口
求	一水丶
计	讠十
论	讠人匕
达	大辶
则	贝刂
