# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8803	1.0000	+0.8803	0.7749
w	4.3958	4.0000	+0.3958	0.1566
e	3.7780	5.0000	-1.2220	1.4933
r	3.7502	4.0000	-0.2498	0.0624
t	1.7538	1.5000	+0.2538	0.0644
y	2.0213	1.5000	+0.5213	0.2718
u	1.9240	3.5000	-1.5760	2.4838
i	4.4419	5.0000	-0.5581	0.3114
o	4.1729	3.5000	+0.6729	0.4528
p	1.6637	1.0000	+0.6637	0.4405
a	1.9556	2.5000	-0.5444	0.2963
s	5.6306	5.0000	+0.6306	0.3977
d	7.5045	8.0000	-0.4955	0.2455
f	5.5168	8.0000	-2.4832	6.1664
g	3.2832	5.0000	-1.7168	2.9473
h	5.5548	5.0000	+0.5548	0.3078
j	6.1367	9.0000	-2.8633	8.1983
k	9.1130	9.0000	+0.1130	0.0128
l	4.4886	3.5000	+0.9886	0.9773
z	0.0000	0.0000	+0.0000	0.0000
x	2.2484	2.0000	+0.2484	0.0617
c	2.8812	2.0000	+0.8812	0.7765
v	5.0194	5.0000	+0.0194	0.0004
b	2.0855	2.0000	+0.0855	0.0073
n	5.1918	4.5000	+0.6918	0.4786
m	3.6078	3.5000	+0.1078	0.0116
